Month,Day,Year,Species,Plot,Sex,Weight_g,Notes
7,16,1977,DM,2,F,NA,
7,16,1977,DM,7,M,33,
7,16,1977,DM,3,M,NA,
7,16,1977,DM,1,M,NA,
7,18,1977,DM,3,M,40,
7,18,1977,DM,7,M,48,
7,18,1977,DM,4,F,29,
7,18,1977,DM,4,F,46,
7,18,1977,DM,7,M,36,
7,18,1977,DM,7,F,35,
7,18,1977,DM,8,F,22,
7,18,1977,DM,7,F,42,
7,18,1977,DM,4,F,41,
7,18,1977,DM,6,F,37,
8,19,1977,DO,8,F,52,
10,17,1977,DO,3,F,33,
10,17,1977,DO,3,F,50,
10,17,1977,DO,17,F,48,
10,17,1977,DO,17,F,31,
10,18,1977,DO,8,F,41,
11,12,1977,DO,1,F,44,
11,12,1977,DO,1,M,48,
11,14,1977,DO,8,F,39,
12,10,1977,DO,9,F,40,
12,10,1977,DO,1,M,45,
12,11,1977,DO,8,F,41,
11,12,1977,DS,9,F,117,
11,12,1977,DS,1,F,121,
11,12,1977,DS,20,M,115,
11,12,1977,DS,9,F,120,
11,13,1977,DS,17,F,118,
11,13,1977,DS,11,F,126,
11,13,1977,DS,17,M,NA,132 (scale not calibrated)
11,13,1977,DS,14,F,NA,113 (scale not callibtrated)
11,13,1977,DS,11,F,122,
11,13,1977,DS,4,F,107,
11,13,1977,DS,4,F,115,